FUSION360 Tool Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post-process/number,geometry/shoulder-length,description,type,geometry/DC,BMC,GRADE,geometry/CSP,geometry/HAND,geometry/LB,geometry/LCF,geometry/NOF,geometry/NT,geometry/OAL,geometry/RE,geometry/SFDM,geometry/SIG,geometry/TA,geometry/TP,geometry/thread-profile-angle,geometry/tip-diameter,geometry/tip-length,geometry/tip-offset,guid,holder/description,holder/guid,holder/last_modified,holder/product-id,holder/product-link,holder/reference_guid,holder/segments/0/height,holder/segments/0/lower-diameter,holder/segments/0/upper-diameter,holder/type,holder/unit,holder/vendor,last_modified,post-process/break-control,post-process/comment,post-process/diameter-offset,post-process/length-offset,post-process/live,post-process/manual-tool-change,post-process/tool-coolant,post-process/turret,product-id,product-link,reference_guid,shaft/guid,shaft/segments/0/height,shaft/segments/0/lower-diameter,shaft/segments/0/upper-diameter,shaft/type,shaft/unit,start-values/*/f_n,start-values/*/f_z,start-values/*/n,start-values/*/n_ramp,start-values/*/v_c,start-values/*/v_f,start-values/*/v_f_leadIn,start-values/*/v_f_leadOut,start-values/*/v_f_plunge,start-values/*/v_f_ramp,start-values/*/v_f_retract,unit,vendor,tapered-type,geometry/CW,geometry/JET_HEAD_CLEARANCE,geometry/JET_NOZZLE_DIAMETER,holder/segments/1/height,holder/segments/1/lower-diameter,holder/segments/1/upper-diameter,holder/segments/2/height,holder/segments/2/lower-diameter,holder/segments/2/upper-diameter,holder/segments/3/height,holder/segments/3/lower-diameter,holder/segments/3/upper-diameter,holder/segments/4/height,holder/segments/4/lower-diameter,holder/segments/4/upper-diameter,start-values/*/machineQualityControl,holder/segments/5/height,holder/segments/5/lower-diameter,holder/segments/5/upper-diameter,holder/segments/6/height,holder/segments/6/lower-diameter,holder/segments/6/upper-diameter,holder/segments/7/height,holder/segments/7/lower-diameter,holder/segments/7/upper-diameter,holder/segments/8/height,holder/segments/8/lower-diameter,holder/segments/8/upper-diameter,holder/segments/9/height,holder/segments/9/lower-diameter,holder/segments/9/upper-diameter,holder/segments/10/height,holder/segments/10/lower-diameter,holder/segments/10/upper-diameter,holder/segments/11/height,holder/segments/11/lower-diameter,holder/segments/11/upper-diameter,holder/segments/12/height,holder/segments/12/lower-diameter,holder/segments/12/upper-diameter,holder/segments/13/height,holder/segments/13/lower-diameter,holder/segments/13/upper-diameter,segments/0/height,segments/0/lower-diameter,segments/0/upper-diameter
1,10,Vacuum,flat end mill,80,hss,Mill Generic,FALSE,TRUE,20,5,3,0,50,0,80,0,0,0,0,80,0,0,b37a4e99-e755-48b5-8158-2424d9b9f6cf,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52194E+12,FALSE,,1,1,TRUE,FALSE,flood,0,,,a1e36bbf-621e-4442-a0b5-489a1545aaf6,,,,,,,0,,0,0,0,7200,1000,1000,333.333,333.333,333.333,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,tapered mill,0.1,hss,Mill Generic,FALSE,TRUE,25,3,3,0,60,0.1,6,0,45,0,0,-0.1,0,0,efe0d359-9743-4a62-bfef-d70d7366e5ec,Maritool CAT40-ER32-2.35,e800051b-e2d6-4699-a2b6-dad6466a0a0c,1.48579E+12,CAT40-ER32-2.35,,,0.148,1.5,1.97,holder,inches,Maritool,1.53929E+12,FALSE,,1,1,TRUE,FALSE,flood,0,,,,,,,,,,0.066666667,0.066666667,5000,5000,1.570796327,1000,1000,1000,333.3333333,333.3333333,333.3333333,millimeters,,tapered_bull_nose,,,,0.836,1.97,1.97,0.176,1.57,1.57,0.09,1.57,1.75,0.425,1.75,1.75,,0.05,1.75,1.85,0.03,2.442,2.502,0.145,2.502,2.502,0.079,2.502,2.215,0.118,2.215,2.215,0.079,2.215,2.502,0.143,2.502,2.502,0.03,2.502,2.442,0.125,1.75,1.75,,,
2,18,,chamfer mill,6,hss,Mill Generic,FALSE,TRUE,30,12,3,0,30,0,6,0,45,0,0,0.1,0,0,7ff57189-5535-4631-9cad-379624685cd9,Maritool CAT40-ER32-2.35,e800051b-e2d6-4699-a2b6-dad6466a0a0c,1.48579E+12,CAT40-ER32-2.35,,,0.148,1.5,1.97,holder,inches,Maritool,1.53041E+12,FALSE,,2,2,TRUE,TRUE,flood,0,,,,,,,,,,0.0666666,0.066666667,5000,5000,94.24777961,1000,1000,1000,333.333,333.333,333.333,millimeters,,,,,,0.836,1.97,1.97,0.176,1.57,1.57,0.09,1.57,1.75,0.425,1.75,1.75,,0.05,1.75,1.85,0.03,2.442,2.502,0.145,2.502,2.502,0.079,2.502,2.215,0.118,2.215,2.215,0.079,2.215,2.502,0.143,2.502,2.502,0.03,2.502,2.442,0.125,1.75,1.75,,,
22,25,Standard 2mm drill,drill,2,hss,generic,FALSE,TRUE,30,20,2,0,58,0,2,118,0,0,0,0,0,0,34b50259-dc52-4f36-a040-0d7c6b7eeb02,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52186E+12,FALSE,,22,22,TRUE,TRUE,flood,0,,,a5b137d3-a911-4a9c-a9bd-f1a588055268,,,,,,,0.1,,8000,8000,50.26548246,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,40,Standard 3mm drill,drill,3,hss,generic,FALSE,TRUE,40,40,2,0,60,0,3,118,0,0,0,0,0,0,4deba72c-0694-4ecd-b55d-33a722fa5e1f,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.51944E+12,FALSE,,23,23,TRUE,TRUE,flood,0,,,3c25b8fc-ab72-48b4-af43-a6d9a1e09edf,,,,,,,0.1,,8000,8000,75.39822369,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,48,Standard 4mm drill,drill,4,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,f240bda3-3705-4f31-a1af-e23686ea7366,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52247E+12,FALSE,,24,24,TRUE,TRUE,flood,0,,,cbffceec-8a13-44e3-a3da-4809bb78791e,,,,,,,0.1,,8000,8000,100.5309649,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,48,Standard 5mm drill,drill,5,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,55eb7fa2-884a-44da-9aa7-728f1188fc20,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52755E+12,FALSE,,25,25,TRUE,TRUE,flood,0,,,6669dc6a-a6f6-4f5c-bbd7-5ab5535b2bfb,,,,,,,0.1,,8000,8000,125.6637061,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,48,Standard 6mm drill,drill,6,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,0b8d6433-1797-40e3-849d-675f15cad7dc,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52247E+12,FALSE,,26,26,TRUE,TRUE,flood,0,,,3bca6e02-74df-4c7e-b5cc-55b7619eb020,,,,,,,0.1,,8000,8000,150.7964474,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,48,Standard 8mm drill,drill,8,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,57cd4a7c-6eb1-4f01-b1af-8093fa134007,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52755E+12,FALSE,,28,28,TRUE,TRUE,flood,0,,,3f6fbaee-88d6-4130-adb8-19f6dba9d0f0,,,,,,,0.1,,8000,8000,201.0619298,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,18,fly mill face cutter,flat end mill,22,hss,Mill Generic,FALSE,TRUE,18,12.5,2,0,46,0,6,0,0,0,0,22,0,0,b89ff2a3-a917-4f9c-94e7-4ff302cb6366,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.51944E+12,FALSE,,32,32,TRUE,TRUE,flood,0,,,a3989143-2afc-4d8b-b0cf-1b076bf49674,bfb4d83e-6e40-4a5c-b5e7-5e73bfa71c60,10,6,6,shaft,millimeters,0.1,0.15,12000,12000,829.3804605,3600,1000,1000,1200,333.333,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,20,45' 6mm shank chamfer tool,chamfer mill,6,hss,Mill Generic,FALSE,TRUE,24,12,2,0,52,0,6,0,45,0,0,0,0,0,54bc29fe-8328-4ac5-98fa-11e2d7507139,Vacuum,756723d2-65d6-4dc4-9b0d-454584874e46,1.51842E+12,,,b3abf7fe-7cb1-45fa-868a-2b064f800526,100,80,80,holder,millimeters,,1.53456E+12,FALSE,,41,41,TRUE,FALSE,flood,0,,,d008bf26-5e98-42e1-856a-fcda22b4bff4,,,,,,,0.027777778,0.041666667,12000,12000,226.1946711,1000,1000,1000,333.3333333,333.3333333,333.3333333,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15,,tapered mill,0.1,hss,Mill Generic,FALSE,TRUE,25,11,2,0,32,0,6,0,45,0,0,0.1,0,0,3729df8a-25b8-4cff-8d7d-656717aa53f4,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.53041E+12,FALSE,,42,42,TRUE,TRUE,flood,0,,,3d7c34a7-6232-45d4-938e-d7d9eb8e1248,,,,,,,0.1,0.041666667,12000,12000,3.769911184,1000,1000,1000,1200,333.333,1200,millimeters,,tapered_bull_nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,12,,chamfer mill,10,hss,Mill Generic,FALSE,TRUE,20,9,2,0,45,0,6,0,30,0,0,0,0,0,3d7c34a7-6232-45d4-938e-d7d9eb8e1248,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.53041E+12,FALSE,,43,43,TRUE,TRUE,flood,0,,,,,,,,,,0.1,0.041666667,12000,12000,376.9911184,1000,1000,1000,1200,1000,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,20,6mm slot cutting tool (3mm depth),slot mill,12.5,hss,Mill Generic,FALSE,TRUE,20,6,2,0,46.5,0,6,0,0,0,0,12.5,0,0,6384d093-e91d-4f76-b01d-bdea60b2aef5,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52083E+12,FALSE,6mm slot cutting tool (3mm depth),43,43,TRUE,TRUE,flood,0,,,2bd2c08c-88ab-404e-8641-6a1028d879fd,,,,,,,0.008333333,0.041666667,12000,12000,471.238898,1000,1000,1000,100,333.333,100,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,7,Drag Knife,counter sink,2,hss,generic,FALSE,TRUE,65,5,1,0,75,0,9,45,0,0,0,2,0,0,4229fa62-247b-4d4b-9db1-72019fa6d92e,Maritool CAT40-ER32-2.35,e800051b-e2d6-4699-a2b6-dad6466a0a0c,1.48579E+12,CAT40-ER32-2.35,,,0.148,1.5,1.97,holder,inches,Maritool,1.51944E+12,FALSE,,61,61,TRUE,TRUE,flood,0,,,ff4b295c-4b4f-4df9-a673-6b987b47015c,,,,,,,0,,0,0,0,1000,1000,1000,1000,333.333,1000,millimeters,,,,,,0.836,1.97,1.97,0.176,1.57,1.57,0.09,1.57,1.75,0.425,1.75,1.75,,0.05,1.75,1.85,0.03,2.442,2.502,0.145,2.502,2.502,0.079,2.502,2.215,0.118,2.215,2.215,0.079,2.215,2.502,0.143,2.502,2.502,0.03,2.502,2.442,0.125,1.75,1.75,,,
71,,Laser 2.5W,laser cutter,,hss,,,,,,,,,,,,,,,,,,40189ed7-ef47-42b4-9bf1-fdaf530d5cc0,Laser Cutter Head,48b000c0-b7b5-438c-8a01-5c03f563a7d0,1.48579E+12,,,,4.9657,4.7752,19.2532,holder,millimeters,,1.5249E+12,,,71,71,,TRUE,,,,,f2a39429-77ea-44e4-adbd-245ee1fed9a3,,,,,,,,,,,,250,250,250,,,,millimeters,,,2,1,2,1.524,19.2532,19.2532,2.54,12.7,12.7,17.3863,25.4,31.75,25.4,31.75,31.75,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.2,Vaccum only,flat end mill,60,hss,Mill Generic,FALSE,TRUE,1,0.1,2,0,1,0,60,0,0,0,0,60,0,0,90e82313-ad83-4505-80a3-383c6f68dc4a,Vacuum,756723d2-65d6-4dc4-9b0d-454584874e46,1.51842E+12,,,b3abf7fe-7cb1-45fa-868a-2b064f800526,100,80,80,holder,millimeters,,1.53757E+12,FALSE,,80,80,TRUE,FALSE,flood,0,,,,,,,,,,240,360,5,5,0.942477796,3600,3600,3100,1200,1200,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,12.1,,tapered mill,0.1,hss,Mill Generic,FALSE,TRUE,12.3,12,3,0,30,0.1,6,0,45,0,0,-0.1,0,0,746a5556-23d4-4b9d-9ae5-d3afb992a377,Maritool CAT40-ER32-2.35,e800051b-e2d6-4699-a2b6-dad6466a0a0c,1.48579E+12,CAT40-ER32-2.35,,,0.148,1.5,1.97,holder,inches,Maritool,1.53929E+12,FALSE,,111,111,TRUE,FALSE,flood,0,,,,,,,,,,0.0666666,0.066666667,5000,5000,1.570796327,1000,1000,1000,333.333,333.333,333.333,millimeters,,tapered_bull_nose,,,,0.836,1.97,1.97,0.176,1.57,1.57,0.09,1.57,1.75,0.425,1.75,1.75,,0.05,1.75,1.85,0.03,2.442,2.502,0.145,2.502,2.502,0.079,2.502,2.215,0.118,2.215,2.215,0.079,2.215,2.502,0.143,2.502,2.502,0.03,2.502,2.442,0.125,1.75,1.75,,,
114,36,standard Cutter,flat end mill,14,hss,Mill Generic,FALSE,TRUE,53,26,2,0,83,0,14,0,0,0,0,14,0,0,15b2e258-0332-49cd-aaf7-db700873e376,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52617E+12,FALSE,,114,114,TRUE,TRUE,flood,0,,,79422f2d-c408-4346-b349-a2ba00f654d9,,,,,,,0.1,0.15,12000,12000,527.7875658,3600,1000,1000,1200,333.333,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,8,standard Cutter,flat end mill,2,hss,Mill Generic,FALSE,TRUE,31,8,2,0,51,0,6,0,0,0,0,2,0,0,1193ee02-72ed-4d80-875c-e0c71f7989b4,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52186E+12,FALSE,,121,121,TRUE,TRUE,flood,0,,,53a61612-94fc-4267-9c22-c7e4693ff5d0,65f21684-686b-4e5f-9818-f30c21152e9b,10,6,6,shaft,millimeters,0.1,0.15,12000,12000,75.39822369,3600,1000,1000,1200,333.333,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,20,standard Cutter,flat end mill,4,hss,Mill Generic,FALSE,TRUE,35,19,2,0,55,0,6,0,0,0,0,4,0,0,035207e1-140a-4972-a9c4-4bf454c0bc6b,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52257E+12,FALSE,,141,141,TRUE,TRUE,flood,0,,,14eb9077-77bb-4b82-99cb-4e5a2c373194,4378e5b2-7172-4d28-af63-67c7f3018e04,10,6,6,shaft,millimeters,0.1,0.15,12000,12000,150.7964474,3600,1000,1000,1200,333.333,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,20,standard Cutter,flat end mill,3.8,hss,Mill Generic,FALSE,TRUE,35,19,2,0,55,0,6,0,0,0,0,3.8,0,0,a1317758-c910-4276-ba09-d08257d29c48,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52257E+12,FALSE,,142,142,TRUE,TRUE,flood,0,,,6781e060-6e18-461b-a211-05fb91e85be1,4487e11f-e161-4353-9d53-bf3421e8b68d,10,6,6,shaft,millimeters,0.1,0.15,12000,12000,143.256625,3600,1000,1000,1200,333.333,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,24,standard Cutter,flat end mill,6,hss,Mill Generic,FALSE,TRUE,36,18,2,0,36,0,6,0,0,0,0,6,0,0,c17685e5-a2ab-4469-bfc1-e35b075b2215,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52193E+12,FALSE,,161,161,TRUE,TRUE,flood,0,,,d5136f1a-c386-4994-8834-aad64caea196,1f3e8f5c-5f48-43a6-8643-380de56c5b01,10,6,6,shaft,millimeters,0.1,0.15,12000,12000,226.1946711,3600,1000,1000,1200,333.333,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,24,standard Cutter,flat end mill,5.5,hss,Mill Generic,FALSE,TRUE,36,18,2,0,36,0,6,0,0,0,0,5.5,0,0,698ce5c3-91ef-4804-beb8-997f2034c5e0,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.53929E+12,FALSE,,162,162,TRUE,TRUE,flood,0,,,,5dec27b7-f073-404d-9293-c794495ccee9,10,6,6,shaft,millimeters,0.1,0.125,12000,12000,207.3451151,3000,3000,1000,1200,1000,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,32,standard Cutter,ball end mill,8,hss,Mill Generic,FALSE,TRUE,65,20,2,0,95,4,8,0,0,0,0,0,0,0,3b8b3852-17e3-404e-a346-f3b513fa20f9,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52186E+12,FALSE,,185,185,TRUE,TRUE,flood,0,,,95fcd1f7-830d-4954-ad2e-88aa792ee007,,,,,,,0.1,0.15,12000,12000,301.5928947,3600,1000,1000,1200,333.333,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,48,Standard 10mm drill,drill,10,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,696a4bfb-e9bc-422f-be10-5791cde8858b,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52755E+12,FALSE,,210,210,TRUE,TRUE,flood,0,,,65db3696-2495-4382-872b-bb437dd789a9,,,,,,,0.1,,8000,8000,251.3274123,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,48,Standard 12mm drill,drill,12,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,1c0877a4-ef12-4592-9bc6-d6e0e370894a,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52755E+12,FALSE,,212,212,TRUE,TRUE,flood,0,,,a22c2838-c2dc-4887-ab73-39cd9603ecd1,,,,,,,0.1,,8000,8000,301.5928947,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vacuum,holder,,,,,,,,,,,,,,,,,,,,756723d2-65d6-4dc4-9b0d-454584874e46,,,,,,,,,,,,,1.51842E+12,,,,,,,,,,,b3abf7fe-7cb1-45fa-868a-2b064f800526,,,,,,,,,,,,,,,,,,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,80,80
